	SRR7359524	SRR7359523	SRR7359522	SRR7359521	SRR7359528	SRR7359527	SRR7359526	SRR7359525
peak_100290	0	0	0	0	0	0	0.717594443942245	0
peak_100291	0.919198308727221	0	0	0	0	0	0.717594443942245	0
peak_100292	0	0	0	0	0	0.776145176973932	0	0
peak_100293	0	0	0	0	0	0	0.717594443942245	0
peak_100294	0	0	0	0	1.84229574786345	0	0	0
peak_100295	0	0	0	0	0	0	0.717594443942245	0
peak_100296	0	0	0	0	0	0.776145176973932	0	0
peak_100297	0	0	0	0	0	0	0	0.659955311222994
peak_100298	0	0	0	0	0	0.776145176973932	0	0
peak_100299	0	0	0	0	0	0.776145176973932	0	0
peak_1003	0	0	0	0	0	0	0.717594443942245	0
peak_10030	0	0	0	0	0	0	1.43518888788449	0
peak_100300	0	0	0	0	0	0.776145176973932	0	0
peak_100301	0	0	0	0	0	0.776145176973932	0	0
peak_100302	0	0	0	0	0	0	0.717594443942245	0
peak_100303	0	0	0	0	0	0.776145176973932	0	0
peak_100304	0	0	0	0	0.921147873931724	1.55229035394786	0	0
peak_100305	0	0	0	0	0.921147873931724	1.55229035394786	0	0
peak_100306	0	0	0	1.4580111421633	1.84229574786345	0.776145176973932	0	0
peak_100307	0	0	0	0	0	0.776145176973932	0	0
peak_100308	0	0	0	0	0	0	0.717594443942245	0
peak_100309	0	0	0	1.4580111421633	1.84229574786345	0	0	0
peak_10031	0	0	0	0	0	0	0	0.659955311222994
peak_100310	0	1.17917497231001	0	0	0	0	0.717594443942245	0
peak_100311	0	0	1.49556127951153	0	0.921147873931724	0	0	0.659955311222994
peak_100312	0	0	0	2.91602228432661	0	0	0.717594443942245	0
peak_100313	0	0	0	0	0	0	0.717594443942245	0
peak_100314	0	0	0	0	0	0	0.717594443942245	0
peak_100315	0	0	0	2.91602228432661	0	0	0.717594443942245	0
peak_100316	0	0	0	0	0	0.776145176973932	0	0
peak_100317	0	0	0	0	0	0	0.717594443942245	0
peak_100318	0	0	0	0	0	0.776145176973932	0	0
peak_100319	0	0	0	0	4.60573936965862	0	0	0
peak_10032	0	0	0	1.4580111421633	2.76344362179517	0	0	0
peak_100320	0	0	0	0	0.921147873931724	0	0.717594443942245	0
peak_100321	0	0	0	0	0	0	0	0.659955311222994
peak_100322	0	0	0	0	0	0	0	1.31991062244599
peak_100323	0	0	0	1.4580111421633	0	0	0	0.659955311222994
peak_100324	0	0	0	0	0	0	0.717594443942245	0
peak_100325	0	0	0	0	0	0	0	0.659955311222994
peak_100326	0	0	1.49556127951153	0	0	0.776145176973932	0	0
peak_100327	0	0	0	0	0	1.55229035394786	0	0
peak_100328	0	0	0	0	0	0	0	0
peak_100329	0	0	0	0	0	0	0	0
peak_10033	0	0	0	1.4580111421633	0	0	1.43518888788449	0
peak_100330	0	0	0	0	0	0.776145176973932	0	0
peak_100331	0	0	0	0	0	0.776145176973932	0	0
